"","auth.id","start_year","group","focal","anr_year"
"501","35183756200",2012,"1223",1,2016
"502","6603576379",2011,"1223",0,2015
"503","35195492000",2010,"1224",1,2014
"504","56227868300",2011,"1224",0,2015
"505","35197934800",2010,"1225",1,2014
"506","15834792500",2005,"1225",0,2009
"507","35221597500",2011,"1226",1,2015
"508","6603631865",2005,"1226",0,2009
"509","35223934800",2012,"1227",1,2016
"510","24339321600",2010,"1227",0,2014
"511","35226924700",2008,"1228",1,2012
"512","37091242100",2003,"1228",0,2007
"513","35226975000",2009,"1229",1,2013
"514","26031924200",2009,"1229",0,2013
"515","12801021300",2012,"123",1,2016
"516","6507840103",2006,"123",0,2010
"517","35226990500",2009,"1230",1,2013
"518","35090219300",2011,"1230",0,2015
"519","35227002200",2007,"1231",1,2011
"520","7103274080",2011,"1231",0,2015
"521","35227036700",2011,"1232",1,2015
"522","14829323200",2010,"1232",0,2014
"523","35227849500",2012,"1233",1,2016
"524","16636355800",2008,"1233",0,2012
"525","35228207600",2012,"1234",1,2016
"526","55573786800",2011,"1234",0,2015
"527","35228367500",2006,"1235",1,2010
"528","6701761476",2008,"1235",0,2012
"529","35228518000",2006,"1236",1,2010
"530","6602327990",2007,"1236",0,2011
"531","35228649200",2012,"1237",1,2016
"532","10042072800",2008,"1237",0,2012
"533","35233514700",2006,"1238",1,2010
"534","56023809600",2007,"1238",0,2011
"535","35234059600",2006,"1239",1,2010
"536","24068661200",2009,"1239",0,2013
"537","12801073500",2008,"124",1,2012
"538","7403460178",2004,"124",0,2008
"539","35234646200",2011,"1240",1,2015
"540","12759869300",2003,"1240",0,2007
"541","35239878500",2006,"1241",1,2010
"542","6602634988",2009,"1241",0,2013
"543","35239938700",2010,"1242",1,2014
"544","6701668267",2009,"1242",0,2013
"545","35241251300",2011,"1243",1,2015
"546","6603149863",2000,"1243",0,2004
"547","35241711000",2007,"1244",1,2011
"548","7003265189",2002,"1244",0,2006
"549","35243350500",2008,"1245",1,2012
"550","36894074900",2002,"1245",0,2006
"551","35261525600",2010,"1246",1,2014
"552","6701431154",2002,"1246",0,2006
"553","35262231400",2007,"1247",1,2011
"554","16200944200",2005,"1247",0,2009
"555","35264803600",2011,"1248",1,2015
"556","7006019999",2009,"1248",0,2013
"557","35270010100",2007,"1249",1,2011
"558","6603954265",2007,"1249",0,2011
"559","12801085400",2011,"125",1,2015
"560","6603215020",2009,"125",0,2013
"561","35271209000",2006,"1250",1,2010
"562","6602860081",2006,"1250",0,2010
"563","35272458500",2009,"1251",1,2013
"564","6603724368",2005,"1251",0,2009
"565","35274563300",2007,"1252",1,2011
"566","36155318100",2006,"1252",0,2010
"567","35279441400",2009,"1253",1,2013
"568","7003444714",2005,"1253",0,2009
"569","35293240300",2007,"1254",1,2011
"570","6602826094",2002,"1254",0,2006
"571","35293544600",2007,"1255",1,2011
"572","17033987900",2005,"1255",0,2009
"573","35298609700",2008,"1256",1,2012
"574","55249883700",2008,"1256",0,2012
"575","35304529700",2009,"1257",1,2013
"576","7201489446",2003,"1257",0,2007
"577","35307884300",2011,"1258",1,2015
"578","10140832200",2007,"1258",0,2011
"579","35308928800",2011,"1259",1,2015
"580","34571802000",2001,"1259",0,2005
"581","12805529700",2007,"126",1,2011
