,auth.id,group,focal,anr_year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
349,6602517182,140,0,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,22,36,38,42,48,58,60,65,65,71,79,82,87,105,105,108,1996
352,6602856639,1407,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,25,25,25,25,32,32,48,48,48,48,1996
354,6505814099,141,0,2009,0,0,0,0,0,0,3,3,3,5,5,9,10,10,10,10,10,10,19,19,19,19,19,19,19,19,19,19,19,1996
357,8551924000,1411,0,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,5,5,8,8,8,2003
359,6701823660,1412,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1995
361,6602351468,1413,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1998
363,7004410116,1414,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,31,31,31,31,31,31,31,31,31,31,47,47,47,2002
365,10040481000,1418,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2008
367,6602322372,1421,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,6,6,6,6,6,6,6,11,11,11,11,11,13,2001
370,56218887700,1427,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,1991
372,6601972302,1428,0,2008,0,0,0,0,0,0,3,8,8,12,17,27,32,33,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,1996
374,56365219600,1429,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,2003
375,18533441100,1430,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,12,12,15,20,20,23,25,25,25,25,25,25,2000
377,54785284600,1431,0,2011,0,0,0,0,0,0,0,0,7,7,9,9,96,96,103,104,113,113,126,126,189,199,221,222,290,296,319,326,333,1997
379,56240246900,1433,0,2009,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1990
382,26023659700,1437,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2000
383,7003353593,144,0,2011,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1994
