ID,group,focal,anr_year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year,end_year,max_hole_size,activity,tot_pubs
7006205089,1214,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,10,11,11,11,11,2012,2015,1,3,6
35113776100,1215,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,7,7,11,17,21,23,23,24,25,27,29,29,2004,2018,3,14,20
56627703100,1215,0,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,8,13,21,21,21,21,26,27,30,31,39,2005,2018,1,13,18
35118560200,1216,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,3,2009,2017,2,8,7
10144733900,1216,0,2008,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2001,2008,1,7,7
35197934800,1225,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,5,5,7,9,10,2009,2018,2,9,12
15834792500,1225,0,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2004,2006,0,2,3
35221597500,1226,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,2009,2009,0,0,1
6603631865,1226,0,2009,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1998,1998,0,0,1
35226924700,1228,1,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,2004,2016,11,12,2
37091242100,1228,0,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,2007,2007,0,0,1
12801021300,123,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004,2004,0,0,1
6507840103,123,0,2010,0,0,0,8,8,8,8,8,8,8,8,10,10,11,11,11,19,22,23,24,24,27,27,27,27,28,28,28,28,1993,2015,7,22,22
